Origin Factory,Region,Product Name,Lead Time
Wicked Choccy's,South,Chocolate Almonds,4.774193548387097
Wicked Choccy's,South,Sour Worms,4.761904761904762
Wicked Choccy's,South,Caramel Squares,4.724137931034483
Secret Factory,West,Gummy Bears,4.72
Wicked Choccy's,South,Peanut Butter Cups,4.6923076923076925
The Other Factory,Central,Chocolate Almonds,4.685714285714286
Lot's O' Nuts,Central,Pistachios,4.666666666666667
Secret Factory,West,Peanut Butter Cups,4.653846153846154
Sugar Shack,East,Peanut Butter Cups,4.615384615384615
Wicked Choccy's,South,Lollipops,4.586206896551724
Lot's O' Nuts,Central,Gummy Bears,4.518518518518518
Lot's O' Nuts,Central,Chocolate Almonds,4.5
Sugar Shack,East,Lollipops,4.481481481481482
Sugar Shack,East,Dark Chocolate Truffles,4.454545454545454
Wicked Choccy's,South,Dark Chocolate Truffles,4.444444444444445
Lot's O' Nuts,Central,Caramel Squares,4.428571428571429
The Other Factory,Central,Jelly Beans,4.421052631578948
Wicked Choccy's,South,Jelly Beans,4.346153846153846
Lot's O' Nuts,Central,Peanut Butter Cups,4.3076923076923075
The Other Factory,Central,Cashew Clusters,4.296296296296297
Sugar Shack,South,Chocolate Almonds,4.2727272727272725
The Other Factory,Central,Dark Chocolate Truffles,4.2105263157894735
Lot's O' Nuts,Central,Dark Chocolate Truffles,4.136363636363637
Lot's O' Nuts,Central,Sour Worms,4.107142857142857
Secret Factory,Central,Chocolate Almonds,4.08
Wicked Choccy's,South,Gummy Bears,4.05
The Other Factory,South,Gummy Bears,4.04
Secret Factory,West,Jelly Beans,4.0
Wicked Choccy's,Central,Lollipops,4.0
Wicked Choccy's,Central,Gummy Bears,3.9545454545454546
Sugar Shack,West,Jelly Beans,3.95
The Other Factory,South,Sour Worms,3.9411764705882355
The Other Factory,South,Peanut Butter Cups,3.9166666666666665
Sugar Shack,West,Peanut Butter Cups,3.8421052631578947
The Other Factory,South,Cashew Clusters,3.8214285714285716
Lot's O' Nuts,West,Cashew Clusters,3.8095238095238093
Wicked Choccy's,Central,Dark Chocolate Truffles,3.782608695652174
Secret Factory,Central,Sour Worms,3.772727272727273
Wicked Choccy's,Central,Caramel Squares,3.72
Wicked Choccy's,East,Jelly Beans,3.6774193548387095
Sugar Shack,South,Dark Chocolate Truffles,3.6666666666666665
Secret Factory,Central,Lollipops,3.6666666666666665
The Other Factory,South,Jelly Beans,3.6538461538461537
Wicked Choccy's,East,Dark Chocolate Truffles,3.6363636363636362
Secret Factory,Central,Pistachios,3.576923076923077
Lot's O' Nuts,West,Caramel Squares,3.576923076923077
Lot's O' Nuts,Central,Cashew Clusters,3.576923076923077
Secret Factory,Central,Cashew Clusters,3.5384615384615383
Wicked Choccy's,Central,Peanut Butter Cups,3.52
Sugar Shack,West,Gummy Bears,3.52
Wicked Choccy's,Central,Cashew Clusters,3.5
Wicked Choccy's,East,Lollipops,3.433333333333333
Lot's O' Nuts,West,Sour Worms,3.4193548387096775
Lot's O' Nuts,West,Dark Chocolate Truffles,3.391304347826087
Wicked Choccy's,Central,Pistachios,3.3870967741935485
Wicked Choccy's,East,Chocolate Almonds,3.380952380952381
The Other Factory,South,Chocolate Almonds,3.3461538461538463
Sugar Shack,West,Chocolate Almonds,3.3448275862068964
Sugar Shack,West,Caramel Squares,3.2962962962962963
The Other Factory,South,Lollipops,3.2916666666666665
Sugar Shack,West,Lollipops,3.2857142857142856
Wicked Choccy's,East,Peanut Butter Cups,3.2857142857142856
Wicked Choccy's,East,Sour Worms,3.2857142857142856
Sugar Shack,South,Caramel Squares,3.24
Sugar Shack,South,Peanut Butter Cups,3.24
Wicked Choccy's,East,Gummy Bears,3.2142857142857144
Lot's O' Nuts,West,Peanut Butter Cups,3.210526315789474
Sugar Shack,West,Pistachios,3.2
Sugar Shack,South,Pistachios,3.2
Secret Factory,Central,Caramel Squares,3.185185185185185
Secret Factory,Central,Peanut Butter Cups,3.161290322580645
Secret Factory,Central,Jelly Beans,3.1538461538461537
The Other Factory,South,Caramel Squares,3.142857142857143
Sugar Shack,South,Lollipops,3.107142857142857
Secret Factory,Central,Gummy Bears,3.090909090909091
Sugar Shack,West,Dark Chocolate Truffles,3.0454545454545454
Wicked Choccy's,East,Pistachios,3.04
Lot's O' Nuts,West,Lollipops,3.032258064516129
The Other Factory,South,Dark Chocolate Truffles,3.0
Sugar Shack,South,Gummy Bears,2.9565217391304346
Lot's O' Nuts,East,Peanut Butter Cups,2.933333333333333
Secret Factory,South,Peanut Butter Cups,2.9285714285714284
Wicked Choccy's,West,Caramel Squares,2.92
Sugar Shack,West,Cashew Clusters,2.8947368421052633
Wicked Choccy's,Central,Chocolate Almonds,2.857142857142857
Wicked Choccy's,West,Pistachios,2.8461538461538463
Wicked Choccy's,Central,Jelly Beans,2.8333333333333335
Lot's O' Nuts,West,Pistachios,2.814814814814815
Sugar Shack,South,Cashew Clusters,2.814814814814815
Sugar Shack,South,Jelly Beans,2.7857142857142856
Wicked Choccy's,East,Caramel Squares,2.7777777777777777
Wicked Choccy's,East,Cashew Clusters,2.769230769230769
Sugar Shack,South,Sour Worms,2.730769230769231
Sugar Shack,West,Sour Worms,2.727272727272727
Wicked Choccy's,Central,Sour Worms,2.7037037037037037
Lot's O' Nuts,West,Chocolate Almonds,2.65
The Other Factory,South,Pistachios,2.533333333333333
Secret Factory,Central,Dark Chocolate Truffles,2.5185185185185186
Lot's O' Nuts,West,Jelly Beans,2.44
Lot's O' Nuts,West,Gummy Bears,2.4285714285714284
Secret Factory,South,Caramel Squares,2.3636363636363638
Lot's O' Nuts,East,Pistachios,2.3142857142857145
Wicked Choccy's,West,Chocolate Almonds,2.2903225806451615
Wicked Choccy's,West,Dark Chocolate Truffles,2.25
Sugar Shack,Central,Peanut Butter Cups,2.2142857142857144
Sugar Shack,Central,Gummy Bears,2.1818181818181817
Secret Factory,South,Cashew Clusters,2.074074074074074
Sugar Shack,Central,Lollipops,2.0588235294117645
Secret Factory,South,Pistachios,2.04
Lot's O' Nuts,East,Caramel Squares,2.033333333333333
Wicked Choccy's,West,Lollipops,2.0
Sugar Shack,Central,Jelly Beans,2.0
Lot's O' Nuts,East,Gummy Bears,1.962962962962963
Wicked Choccy's,West,Jelly Beans,1.9473684210526316
Wicked Choccy's,West,Peanut Butter Cups,1.9047619047619047
Secret Factory,South,Dark Chocolate Truffles,1.8333333333333333
Wicked Choccy's,West,Gummy Bears,1.8181818181818181
Wicked Choccy's,West,Cashew Clusters,1.8055555555555556
Sugar Shack,Central,Chocolate Almonds,1.7894736842105263
Sugar Shack,Central,Cashew Clusters,1.78125
Lot's O' Nuts,East,Cashew Clusters,1.7407407407407407
Secret Factory,South,Sour Worms,1.7391304347826086
Lot's O' Nuts,East,Dark Chocolate Truffles,1.736842105263158
Secret Factory,South,Chocolate Almonds,1.68
Secret Factory,South,Lollipops,1.625
Secret Factory,South,Jelly Beans,1.6
Wicked Choccy's,West,Sour Worms,1.59375
Lot's O' Nuts,East,Jelly Beans,1.588235294117647
Lot's O' Nuts,East,Chocolate Almonds,1.5789473684210527
Lot's O' Nuts,East,Lollipops,1.5666666666666667
Sugar Shack,Central,Dark Chocolate Truffles,1.52
Sugar Shack,Central,Sour Worms,1.5
Sugar Shack,Central,Pistachios,1.4166666666666667
Secret Factory,South,Gummy Bears,1.3529411764705883
Sugar Shack,Central,Caramel Squares,1.3333333333333333
Lot's O' Nuts,East,Sour Worms,1.2941176470588236
