Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Origin Factory,Sales,Units,Gross Profit,Cost
16,ORD-2023-10016,2023-09-06,2023-09-16,Standard Class,CUST-878,United States,City_35,State_5,26828,Chocolate,East,PROD-004,Peanut Butter Cups,The Other Factory,2054.49,427,773.49,1281.0
17,ORD-2023-10017,2023-09-28,2023-10-02,First Class,CUST-316,United States,City_35,State_7,50857,Candy,West,PROD-008,Lollipops,The Other Factory,549.46,456,321.46,228.0
18,ORD-2023-10018,2023-03-03,2023-03-04,Same Day,CUST-446,United States,City_2,State_19,82603,Nuts,South,PROD-007,Cashew Clusters,Sugar Shack,999.35,136,455.35,544.0
19,ORD-2023-10019,2023-02-06,2023-02-14,Standard Class,CUST-334,United States,City_5,State_2,53309,Chocolate,West,PROD-004,Peanut Butter Cups,The Other Factory,2730.47,372,1614.47,1116.0
20,ORD-2023-10020,2023-12-09,2023-12-13,First Class,CUST-235,United States,City_47,State_19,85525,Candy,West,PROD-002,Gummy Bears,The Other Factory,563.89,258,254.29,309.6
21,ORD-2023-10021,2023-04-08,2023-04-12,Same Day,CUST-541,United States,City_23,State_14,63883,Candy,South,PROD-008,Lollipops,Wicked Choccy's,47.72,58,18.72,29.0
22,ORD-2023-10022,2023-07-26,2023-07-30,Standard Class,CUST-982,United States,City_7,State_8,35112,Candy,East,PROD-008,Lollipops,Lot's O' Nuts,383.71,382,192.71,191.0
23,ORD-2023-10023,2023-08-05,2023-08-09,Second Class,CUST-355,United States,City_5,State_15,82132,Chocolate,South,PROD-004,Peanut Butter Cups,The Other Factory,592.61,103,283.61,309.0
24,ORD-2023-10024,2023-05-02,2023-05-05,Standard Class,CUST-592,United States,City_14,State_13,17685,Candy,East,PROD-002,Gummy Bears,Lot's O' Nuts,240.5,95,126.5,114.0
25,ORD-2023-10025,2023-05-16,2023-05-19,Same Day,CUST-565,United States,City_19,State_14,82845,Candy,East,PROD-003,Sour Worms,Secret Factory,1683.81,484,1054.61,629.2
26,ORD-2023-10026,2023-04-22,2023-04-23,First Class,CUST-655,United States,City_4,State_11,17492,Candy,West,PROD-008,Lollipops,Wicked Choccy's,46.19,39,26.69,19.5
27,ORD-2023-10027,2023-01-30,2023-02-02,Second Class,CUST-290,United States,City_5,State_20,18907,Nuts,South,PROD-001,Chocolate Almonds,The Other Factory,1093.61,270,418.61,675.0
28,ORD-2023-10028,2023-10-24,2023-10-31,Second Class,CUST-183,United States,City_27,State_19,84085,Chocolate,East,PROD-004,Peanut Butter Cups,Secret Factory,1469.15,314,527.15,942.0
29,ORD-2023-10029,2023-12-09,2023-12-11,Second Class,CUST-371,United States,City_26,State_5,98039,Chocolate,Central,PROD-009,Caramel Squares,Sugar Shack,2075.36,376,1022.56,1052.8
30,ORD-2023-10030,2023-01-05,2023-01-11,Standard Class,CUST-676,United States,City_7,State_3,80468,Candy,Central,PROD-005,Jelly Beans,Secret Factory,890.02,244,524.02,366.0
31,ORD-2023-10031,2023-06-28,2023-07-03,Second Class,CUST-350,United States,City_24,State_10,30676,Chocolate,Central,PROD-004,Peanut Butter Cups,The Other Factory,2217.21,461,834.21,1383.0
32,ORD-2023-10032,2023-12-08,2023-12-17,Standard Class,CUST-779,United States,City_7,State_5,44664,Candy,Central,PROD-008,Lollipops,The Other Factory,499.03,428,285.03,214.0
33,ORD-2023-10033,2023-05-25,2023-05-27,First Class,CUST-451,United States,City_14,State_9,76244,Candy,West,PROD-002,Gummy Bears,Lot's O' Nuts,695.14,319,312.34,382.8
34,ORD-2023-10034,2023-11-21,2023-11-27,Standard Class,CUST-145,United States,City_1,State_11,27146,Candy,East,PROD-008,Lollipops,Sugar Shack,310.07,226,197.07,113.0
35,ORD-2023-10035,2023-10-15,2023-10-18,Same Day,CUST-807,United States,City_10,State_18,14722,Candy,South,PROD-005,Jelly Beans,Wicked Choccy's,35.02,14,14.02,21.0
36,ORD-2023-10036,2023-03-07,2023-03-10,Same Day,CUST-915,United States,City_3,State_12,37535,Chocolate,West,PROD-006,Dark Chocolate Truffles,The Other Factory,304.17,31,149.17,155.0
37,ORD-2023-10037,2023-11-14,2023-11-17,Same Day,CUST-342,United States,City_11,State_6,64040,Chocolate,Central,PROD-004,Peanut Butter Cups,Lot's O' Nuts,2041.83,393,862.83,1179.0
38,ORD-2023-10038,2023-12-09,2023-12-09,Same Day,CUST-354,United States,City_18,State_6,24168,Nuts,Central,PROD-001,Chocolate Almonds,Wicked Choccy's,2940.92,452,1810.92,1130.0
39,ORD-2023-10039,2023-04-13,2023-04-19,Second Class,CUST-458,United States,City_20,State_8,39219,Nuts,South,PROD-007,Cashew Clusters,Lot's O' Nuts,4926.58,428,3214.58,1712.0
40,ORD-2023-10040,2023-05-23,2023-05-27,First Class,CUST-891,United States,City_18,State_12,94080,Nuts,South,PROD-001,Chocolate Almonds,Wicked Choccy's,1812.67,452,682.67,1130.0
41,ORD-2023-10041,2023-03-01,2023-03-08,Standard Class,CUST-282,United States,City_38,State_9,15014,Chocolate,Central,PROD-009,Caramel Squares,Secret Factory,3798.54,459,2513.34,1285.2
42,ORD-2023-10042,2023-06-10,2023-06-12,First Class,CUST-623,United States,City_8,State_13,85574,Candy,South,PROD-002,Gummy Bears,The Other Factory,673.64,233,394.04,279.6
43,ORD-2023-10043,2023-01-01,2023-01-03,Same Day,CUST-651,United States,City_44,State_7,57739,Chocolate,East,PROD-004,Peanut Butter Cups,Sugar Shack,2391.56,276,1563.56,828.0
44,ORD-2023-10044,2023-12-06,2023-12-09,First Class,CUST-407,United States,City_33,State_10,97410,Nuts,Central,PROD-007,Cashew Clusters,Lot's O' Nuts,2996.0,444,1220.0,1776.0
45,ORD-2023-10045,2023-10-11,2023-10-12,First Class,CUST-780,United States,City_25,State_6,90676,Nuts,South,PROD-007,Cashew Clusters,Sugar Shack,536.33,75,236.33,300.0
46,ORD-2023-10046,2023-06-05,2023-06-10,Standard Class,CUST-904,United States,City_38,State_20,95813,Nuts,South,PROD-010,Pistachios,Sugar Shack,1274.32,156,572.32,702.0
47,ORD-2023-10047,2023-12-12,2023-12-12,Same Day,CUST-912,United States,City_48,State_6,96356,Chocolate,South,PROD-006,Dark Chocolate Truffles,Secret Factory,1348.72,119,753.72,595.0
48,ORD-2023-10048,2023-05-01,2023-05-07,Standard Class,CUST-925,United States,City_13,State_5,13201,Candy,Central,PROD-002,Gummy Bears,Sugar Shack,835.0,354,410.2,424.8
49,ORD-2023-10049,2023-08-22,2023-08-30,Standard Class,CUST-689,United States,City_13,State_13,74799,Nuts,South,PROD-001,Chocolate Almonds,Wicked Choccy's,1570.21,222,1015.21,555.0
50,ORD-2023-10050,2023-02-24,2023-02-27,Standard Class,CUST-280,United States,City_45,State_17,70889,Nuts,West,PROD-007,Cashew Clusters,Wicked Choccy's,3488.76,408,1856.76,1632.0
51,ORD-2023-10051,2023-08-22,2023-08-31,Standard Class,CUST-783,United States,City_34,State_18,88047,Nuts,West,PROD-001,Chocolate Almonds,The Other Factory,526.91,78,331.91,195.0
52,ORD-2023-10052,2023-03-23,2023-03-23,Same Day,CUST-560,United States,City_17,State_8,93579,Chocolate,South,PROD-006,Dark Chocolate Truffles,Secret Factory,5444.87,390,3494.87,1950.0
53,ORD-2023-10053,2023-05-21,2023-05-24,Second Class,CUST-392,United States,City_16,State_9,54020,Candy,South,PROD-005,Jelly Beans,The Other Factory,569.72,235,217.22,352.5
54,ORD-2023-10054,2023-03-19,2023-03-28,Second Class,CUST-256,United States,City_46,State_7,18418,Chocolate,East,PROD-006,Dark Chocolate Truffles,The Other Factory,1327.71,128,687.71,640.0
55,ORD-2023-10055,2023-08-01,2023-08-03,Same Day,CUST-530,United States,City_25,State_19,12560,Nuts,Central,PROD-007,Cashew Clusters,Secret Factory,296.88,41,132.88,164.0
56,ORD-2023-10056,2023-06-30,2023-07-05,Standard Class,CUST-973,United States,City_27,State_18,81582,Nuts,South,PROD-010,Pistachios,Secret Factory,1917.43,162,1188.43,729.0
57,ORD-2023-10057,2023-05-20,2023-05-25,Second Class,CUST-498,United States,City_22,State_13,31632,Nuts,South,PROD-010,Pistachios,Wicked Choccy's,2336.54,233,1288.04,1048.5
58,ORD-2023-10058,2023-10-31,2023-11-01,Same Day,CUST-185,United States,City_42,State_14,27786,Candy,East,PROD-008,Lollipops,Wicked Choccy's,371.68,298,222.68,149.0
59,ORD-2023-10059,2023-07-14,2023-07-16,First Class,CUST-434,United States,City_22,State_13,46471,Candy,East,PROD-008,Lollipops,Wicked Choccy's,160.85,177,72.35,88.5
60,ORD-2023-10060,2023-01-10,2023-01-13,Same Day,CUST-458,United States,City_15,State_3,95426,Nuts,East,PROD-007,Cashew Clusters,Sugar Shack,3629.95,393,2057.95,1572.0
61,ORD-2023-10061,2023-01-11,2023-01-15,Second Class,CUST-229,United States,City_31,State_4,83920,Nuts,West,PROD-001,Chocolate Almonds,Lot's O' Nuts,1417.43,328,597.43,820.0
62,ORD-2023-10062,2023-03-27,2023-03-29,First Class,CUST-865,United States,City_46,State_4,31465,Chocolate,Central,PROD-004,Peanut Butter Cups,Secret Factory,2314.44,320,1354.44,960.0
63,ORD-2023-10063,2023-10-22,2023-10-22,First Class,CUST-484,United States,City_26,State_7,19961,Candy,East,PROD-005,Jelly Beans,Lot's O' Nuts,1528.33,356,994.33,534.0
64,ORD-2023-10064,2023-12-17,2023-12-18,First Class,CUST-915,United States,City_37,State_2,55508,Nuts,East,PROD-010,Pistachios,Wicked Choccy's,3863.38,317,2436.88,1426.5
65,ORD-2023-10065,2023-09-17,2023-09-24,Standard Class,CUST-969,United States,City_27,State_16,23833,Chocolate,Central,PROD-009,Caramel Squares,Secret Factory,1920.91,341,966.11,954.8
66,ORD-2023-10066,2023-08-11,2023-08-16,Second Class,CUST-766,United States,City_18,State_20,80539,Nuts,South,PROD-007,Cashew Clusters,Sugar Shack,1040.28,100,640.28,400.0
67,ORD-2023-10067,2023-06-15,2023-06-15,First Class,CUST-188,United States,City_18,State_15,41963,Candy,South,PROD-008,Lollipops,Secret Factory,416.62,446,193.62,223.0
68,ORD-2023-10068,2023-01-15,2023-01-18,First Class,CUST-286,United States,City_32,State_7,56507,Candy,South,PROD-008,Lollipops,The Other Factory,365.1,263,233.6,131.5
69,ORD-2023-10069,2023-10-12,2023-10-13,First Class,CUST-295,United States,City_6,State_8,63271,Candy,Central,PROD-005,Jelly Beans,Sugar Shack,51.19,15,28.69,22.5
70,ORD-2023-10070,2023-11-27,2023-11-30,Same Day,CUST-911,United States,City_2,State_3,48566,Candy,West,PROD-008,Lollipops,The Other Factory,418.18,374,231.18,187.0
71,ORD-2023-10071,2023-12-06,2023-12-10,First Class,CUST-666,United States,City_34,State_12,65771,Chocolate,West,PROD-004,Peanut Butter Cups,Secret Factory,1891.3,307,970.3,921.0
72,ORD-2023-10072,2023-05-19,2023-05-20,Same Day,CUST-223,United States,City_47,State_7,51359,Chocolate,Central,PROD-009,Caramel Squares,Sugar Shack,872.48,166,407.68,464.8
73,ORD-2023-10073,2023-04-21,2023-04-28,Second Class,CUST-841,United States,City_38,State_17,88222,Candy,West,PROD-002,Gummy Bears,The Other Factory,1036.56,388,570.96,465.6
74,ORD-2023-10074,2023-04-27,2023-05-01,First Class,CUST-114,United States,City_46,State_18,26591,Candy,West,PROD-005,Jelly Beans,Lot's O' Nuts,514.83,194,223.83,291.0
75,ORD-2023-10075,2023-12-24,2023-12-24,First Class,CUST-989,United States,City_49,State_16,23446,Candy,East,PROD-005,Jelly Beans,Lot's O' Nuts,1249.33,493,509.83,739.5
76,ORD-2023-10076,2023-09-03,2023-09-06,Same Day,CUST-152,United States,City_17,State_16,24953,Nuts,Central,PROD-001,Chocolate Almonds,The Other Factory,1181.5,235,594.0,587.5
77,ORD-2023-10077,2023-10-23,2023-10-28,Standard Class,CUST-255,United States,City_10,State_19,49824,Candy,South,PROD-002,Gummy Bears,Secret Factory,1007.82,332,609.42,398.4
78,ORD-2023-10078,2023-11-07,2023-11-08,Same Day,CUST-331,United States,City_50,State_17,59856,Candy,East,PROD-002,Gummy Bears,Wicked Choccy's,1015.35,315,637.35,378.0
79,ORD-2023-10079,2023-06-06,2023-06-07,Same Day,CUST-724,United States,City_48,State_4,37235,Candy,Central,PROD-008,Lollipops,Secret Factory,365.95,301,215.45,150.5
80,ORD-2023-10080,2023-05-03,2023-05-07,Second Class,CUST-260,United States,City_1,State_14,69048,Chocolate,East,PROD-004,Peanut Butter Cups,Sugar Shack,684.43,98,390.43,294.0
81,ORD-2023-10081,2023-04-29,2023-05-05,Standard Class,CUST-819,United States,City_30,State_3,40595,Nuts,Central,PROD-010,Pistachios,Secret Factory,1808.95,157,1102.45,706.5
82,ORD-2023-10082,2023-02-28,2023-03-04,Same Day,CUST-252,United States,City_18,State_5,19359,Candy,West,PROD-005,Jelly Beans,The Other Factory,793.68,288,361.68,432.0
83,ORD-2023-10083,2023-08-13,2023-08-16,First Class,CUST-411,United States,City_45,State_13,45683,Nuts,Central,PROD-001,Chocolate Almonds,Wicked Choccy's,402.06,73,219.56,182.5
84,ORD-2023-10084,2023-02-11,2023-02-11,Same Day,CUST-542,United States,City_48,State_11,89129,Chocolate,South,PROD-009,Caramel Squares,The Other Factory,1380.1,316,495.3,884.8
85,ORD-2023-10085,2023-12-12,2023-12-14,Second Class,CUST-701,United States,City_2,State_9,85529,Candy,East,PROD-005,Jelly Beans,Lot's O' Nuts,1833.54,438,1176.54,657.0
86,ORD-2023-10086,2023-05-23,2023-05-25,Same Day,CUST-546,United States,City_41,State_16,21959,Nuts,South,PROD-001,Chocolate Almonds,Wicked Choccy's,763.83,102,508.83,255.0
87,ORD-2023-10087,2023-06-14,2023-06-17,First Class,CUST-264,United States,City_22,State_14,74942,Candy,South,PROD-008,Lollipops,Sugar Shack,292.44,353,115.94,176.5
88,ORD-2023-10088,2023-02-15,2023-02-19,Same Day,CUST-218,United States,City_50,State_13,77449,Candy,East,PROD-005,Jelly Beans,Secret Factory,481.86,171,225.36,256.5
89,ORD-2023-10089,2023-01-28,2023-01-28,Same Day,CUST-737,United States,City_49,State_16,91973,Nuts,South,PROD-001,Chocolate Almonds,The Other Factory,603.58,106,338.58,265.0
90,ORD-2023-10090,2023-10-09,2023-10-12,First Class,CUST-548,United States,City_45,State_16,25915,Candy,West,PROD-008,Lollipops,Lot's O' Nuts,111.32,77,72.82,38.5
91,ORD-2023-10091,2023-06-09,2023-06-16,Second Class,CUST-517,United States,City_6,State_8,24871,Nuts,West,PROD-001,Chocolate Almonds,The Other Factory,1109.97,292,379.97,730.0
92,ORD-2023-10092,2023-05-30,2023-06-01,Same Day,CUST-525,United States,City_31,State_16,41946,Candy,West,PROD-008,Lollipops,Lot's O' Nuts,345.35,270,210.35,135.0
93,ORD-2023-10093,2023-04-08,2023-04-11,Same Day,CUST-864,United States,City_9,State_3,46208,Candy,West,PROD-008,Lollipops,The Other Factory,576.98,481,336.48,240.5
94,ORD-2023-10094,2023-05-25,2023-05-29,Standard Class,CUST-701,United States,City_38,State_16,29476,Nuts,Central,PROD-007,Cashew Clusters,Sugar Shack,2968.5,381,1444.5,1524.0
95,ORD-2023-10095,2023-06-20,2023-06-22,First Class,CUST-486,United States,City_30,State_11,34727,Candy,South,PROD-008,Lollipops,The Other Factory,386.07,292,240.07,146.0
96,ORD-2023-10096,2023-07-30,2023-08-02,Second Class,CUST-584,United States,City_46,State_13,60604,Chocolate,South,PROD-004,Peanut Butter Cups,The Other Factory,189.82,32,93.82,96.0
97,ORD-2023-10097,2023-09-15,2023-09-22,Second Class,CUST-202,United States,City_29,State_4,78937,Candy,East,PROD-003,Sour Worms,Secret Factory,810.39,312,404.79,405.6
98,ORD-2023-10098,2023-12-02,2023-12-03,Same Day,CUST-900,United States,City_17,State_11,91691,Candy,West,PROD-008,Lollipops,Lot's O' Nuts,71.74,89,27.24,44.5
99,ORD-2023-10099,2023-06-12,2023-06-15,Same Day,CUST-877,United States,City_32,State_18,14705,Nuts,Central,PROD-007,Cashew Clusters,Lot's O' Nuts,3403.06,330,2083.06,1320.0
100,ORD-2023-10100,2023-04-27,2023-04-29,First Class,CUST-200,United States,City_49,State_4,68153,Nuts,West,PROD-010,Pistachios,Lot's O' Nuts,2885.14,392,1121.14,1764.0
101,ORD-2023-10101,2023-06-16,2023-06-22,Standard Class,CUST-467,United States,City_24,State_14,29080,Candy,East,PROD-003,Sour Worms,Sugar Shack,858.78,417,316.68,542.1
102,ORD-2023-10102,2023-03-29,2023-04-02,Second Class,CUST-991,United States,City_25,State_20,99539,Chocolate,South,PROD-004,Peanut Butter Cups,The Other Factory,480.68,99,183.68,297.0
103,ORD-2023-10103,2023-08-25,2023-08-30,Second Class,CUST-361,United States,City_43,State_1,70981,Chocolate,West,PROD-004,Peanut Butter Cups,Secret Factory,1896.01,336,888.01,1008.0
104,ORD-2023-10104,2023-08-15,2023-08-23,Standard Class,CUST-701,United States,City_20,State_14,42780,Candy,West,PROD-005,Jelly Beans,The Other Factory,1492.57,493,753.07,739.5
105,ORD-2023-10105,2023-09-05,2023-09-06,Same Day,CUST-685,United States,City_23,State_19,48780,Candy,West,PROD-008,Lollipops,Sugar Shack,59.39,64,27.39,32.0
106,ORD-2023-10106,2023-01-05,2023-01-10,First Class,CUST-896,United States,City_48,State_2,89482,Candy,South,PROD-005,Jelly Beans,Lot's O' Nuts,1254.72,299,806.22,448.5
107,ORD-2023-10107,2023-04-23,2023-04-27,First Class,CUST-356,United States,City_44,State_5,92345,Candy,West,PROD-008,Lollipops,Sugar Shack,299.02,335,131.52,167.5
108,ORD-2023-10108,2023-01-18,2023-01-21,Same Day,CUST-234,United States,City_6,State_10,52823,Candy,Central,PROD-002,Gummy Bears,Lot's O' Nuts,751.77,306,384.57,367.2
109,ORD-2023-10109,2023-10-04,2023-10-07,Second Class,CUST-643,United States,City_33,State_9,31567,Nuts,West,PROD-007,Cashew Clusters,Wicked Choccy's,5417.65,458,3585.65,1832.0
110,ORD-2023-10110,2023-02-28,2023-03-02,First Class,CUST-244,United States,City_49,State_8,98647,Candy,Central,PROD-005,Jelly Beans,Secret Factory,1099.71,249,726.21,373.5
111,ORD-2023-10111,2023-07-22,2023-07-28,Standard Class,CUST-226,United States,City_30,State_12,98188,Nuts,Central,PROD-007,Cashew Clusters,The Other Factory,128.97,17,60.97,68.0
112,ORD-2023-10112,2023-02-25,2023-02-27,First Class,CUST-125,United States,City_40,State_18,52992,Candy,South,PROD-005,Jelly Beans,The Other Factory,985.52,355,453.02,532.5
113,ORD-2023-10113,2023-12-25,2023-12-26,Same Day,CUST-219,United States,City_9,State_2,14877,Nuts,East,PROD-010,Pistachios,Wicked Choccy's,1825.71,164,1087.71,738.0
114,ORD-2023-10114,2023-05-01,2023-05-12,Standard Class,CUST-497,United States,City_30,State_12,97881,Candy,East,PROD-005,Jelly Beans,Secret Factory,1605.2,464,909.2,696.0
115,ORD-2023-10115,2023-12-02,2023-12-04,Same Day,CUST-730,United States,City_27,State_9,14288,Chocolate,West,PROD-009,Caramel Squares,Secret Factory,462.09,60,294.09,168.0
116,ORD-2023-10116,2023-05-01,2023-05-04,Same Day,CUST-802,United States,City_24,State_18,94518,Chocolate,South,PROD-006,Dark Chocolate Truffles,Wicked Choccy's,4568.4,447,2333.4,2235.0
117,ORD-2023-10117,2023-04-08,2023-04-13,First Class,CUST-943,United States,City_30,State_3,96870,Chocolate,South,PROD-006,Dark Chocolate Truffles,Lot's O' Nuts,1052.47,72,692.47,360.0
118,ORD-2023-10118,2023-06-20,2023-06-29,Standard Class,CUST-905,United States,City_37,State_7,18992,Chocolate,East,PROD-004,Peanut Butter Cups,The Other Factory,1199.26,134,797.26,402.0
119,ORD-2023-10119,2023-06-18,2023-06-22,Second Class,CUST-710,United States,City_1,State_9,28964,Chocolate,West,PROD-009,Caramel Squares,Wicked Choccy's,1956.81,406,820.01,1136.8
120,ORD-2023-10120,2023-02-26,2023-03-04,Second Class,CUST-234,United States,City_1,State_12,41186,Candy,Central,PROD-003,Sour Worms,The Other Factory,1266.57,348,814.17,452.4
121,ORD-2023-10121,2023-05-16,2023-05-22,Second Class,CUST-531,United States,City_34,State_4,18330,Nuts,East,PROD-010,Pistachios,Sugar Shack,273.8,36,111.8,162.0
122,ORD-2023-10122,2023-08-20,2023-08-25,Standard Class,CUST-729,United States,City_3,State_17,49535,Candy,Central,PROD-008,Lollipops,Secret Factory,244.62,267,111.12,133.5
123,ORD-2023-10123,2023-07-25,2023-07-26,Same Day,CUST-602,United States,City_46,State_15,19632,Candy,East,PROD-008,Lollipops,Lot's O' Nuts,288.32,228,174.32,114.0
124,ORD-2023-10124,2023-03-06,2023-03-11,Standard Class,CUST-699,United States,City_36,State_11,59925,Candy,West,PROD-002,Gummy Bears,Sugar Shack,438.57,150,258.57,180.0
125,ORD-2023-10125,2023-09-16,2023-09-19,Same Day,CUST-912,United States,City_45,State_4,95814,Nuts,Central,PROD-010,Pistachios,The Other Factory,3079.58,319,1644.08,1435.5
126,ORD-2023-10126,2023-04-27,2023-05-02,Same Day,CUST-564,United States,City_26,State_14,22463,Chocolate,South,PROD-009,Caramel Squares,Wicked Choccy's,1242.8,221,624.0,618.8
127,ORD-2023-10127,2023-07-11,2023-07-12,First Class,CUST-585,United States,City_5,State_3,21188,Chocolate,Central,PROD-006,Dark Chocolate Truffles,Secret Factory,4305.11,498,1815.11,2490.0
128,ORD-2023-10128,2023-03-08,2023-03-12,First Class,CUST-675,United States,City_36,State_11,97819,Candy,East,PROD-002,Gummy Bears,Secret Factory,560.94,294,208.14,352.8
129,ORD-2023-10129,2023-01-27,2023-01-28,Same Day,CUST-460,United States,City_7,State_19,76507,Candy,Central,PROD-002,Gummy Bears,Secret Factory,452.28,157,263.88,188.4
130,ORD-2023-10130,2023-02-25,2023-03-02,Second Class,CUST-476,United States,City_8,State_9,85248,Chocolate,South,PROD-004,Peanut Butter Cups,Wicked Choccy's,1569.49,189,1002.49,567.0
131,ORD-2023-10131,2023-01-15,2023-01-18,First Class,CUST-880,United States,City_20,State_11,56009,Chocolate,East,PROD-004,Peanut Butter Cups,Secret Factory,584.43,102,278.43,306.0
132,ORD-2023-10132,2023-02-05,2023-02-05,Same Day,CUST-131,United States,City_6,State_17,38197,Nuts,West,PROD-001,Chocolate Almonds,Wicked Choccy's,535.35,82,330.35,205.0
133,ORD-2023-10133,2023-03-22,2023-03-22,First Class,CUST-432,United States,City_50,State_19,88148,Nuts,South,PROD-007,Cashew Clusters,Secret Factory,1566.1,199,770.1,796.0
134,ORD-2023-10134,2023-11-13,2023-11-17,Second Class,CUST-378,United States,City_29,State_14,73656,Candy,West,PROD-002,Gummy Bears,Lot's O' Nuts,105.46,35,63.46,42.0
135,ORD-2023-10135,2023-04-21,2023-04-21,First Class,CUST-453,United States,City_28,State_4,47125,Nuts,South,PROD-010,Pistachios,Secret Factory,4042.5,396,2260.5,1782.0
136,ORD-2023-10136,2023-04-23,2023-05-01,Standard Class,CUST-156,United States,City_1,State_7,49507,Nuts,Central,PROD-010,Pistachios,Secret Factory,2839.74,212,1885.74,954.0
137,ORD-2023-10137,2023-06-17,2023-06-18,First Class,CUST-864,United States,City_28,State_6,26932,Chocolate,Central,PROD-004,Peanut Butter Cups,Wicked Choccy's,321.97,71,108.97,213.0
138,ORD-2023-10138,2023-02-06,2023-02-11,First Class,CUST-143,United States,City_28,State_1,70260,Nuts,West,PROD-007,Cashew Clusters,The Other Factory,2379.33,213,1527.33,852.0
139,ORD-2023-10139,2023-12-30,2024-01-01,Same Day,CUST-217,United States,City_26,State_1,52568,Candy,South,PROD-002,Gummy Bears,Sugar Shack,859.97,337,455.57,404.4
140,ORD-2023-10140,2023-02-15,2023-02-16,First Class,CUST-349,United States,City_28,State_19,62487,Candy,South,PROD-003,Sour Worms,The Other Factory,838.04,233,535.14,302.9
141,ORD-2023-10141,2023-06-23,2023-06-28,First Class,CUST-272,United States,City_5,State_17,92998,Chocolate,South,PROD-009,Caramel Squares,Lot's O' Nuts,688.66,123,344.26,344.4
142,ORD-2023-10142,2023-06-29,2023-07-05,First Class,CUST-760,United States,City_10,State_8,23474,Candy,West,PROD-002,Gummy Bears,The Other Factory,1346.47,382,888.07,458.4
143,ORD-2023-10143,2023-11-05,2023-11-07,Second Class,CUST-771,United States,City_5,State_6,92306,Candy,West,PROD-003,Sour Worms,Sugar Shack,302.05,88,187.65,114.4
144,ORD-2023-10144,2023-11-18,2023-11-19,First Class,CUST-169,United States,City_31,State_15,92756,Candy,South,PROD-008,Lollipops,Secret Factory,147.61,171,62.11,85.5
